Measure Mode: allocations
Thread ID: 70123361010180
Fiber ID: 70123360716720
Total: 2637.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  9.75    581.000   257.000     0.000   324.000      190  *Class#new
  4.02    317.000   106.000     0.000   211.000       48   Hash#each
  3.22     85.000    85.000     0.000     0.000       42   String#gsub
  3.07     81.000    81.000     0.000     0.000       86   Symbol#to_s
  2.54     67.000    67.000     0.000     0.000       25   String#split
  1.86     76.000    49.000     0.000    27.000       56  *Kernel#dup
  1.71     45.000    45.000     0.000     0.000       13   Array#-
  1.33   1208.000    35.000     0.000  1173.000        1   ActionView::CompiledTemplates#_app_views_posts_index_html_haml__616322080303404868_70123364085420
  1.25   1056.000    33.000     0.000  1023.000        1   ActionView::CompiledTemplates#_app_views_shared__posts_html_haml___2262644140517314071_70123370581460
  1.25     33.000    33.000     0.000     0.000       51   Hash#initialize_copy
  1.21     32.000    32.000     0.000     0.000       12   String#sub
  1.14     60.000    30.000     0.000    30.000        6   Haml::Helpers#preserve
  1.06    126.000    28.000     0.000    98.000       16   Enumerable#map
  1.02     27.000    27.000     0.000     0.000       27   String#downcase
  1.02     51.000    27.000     0.000    24.000        3   <Class::Haml::Buffer>#merge_attrs
  0.99    153.000    26.000     0.000   127.000       17   Array#map
  0.99   2083.000    26.000     0.000  2057.000      114  *Array#each
  0.91     24.000    24.000     0.000     0.000       26   Array#compact
  0.91     24.000    24.000     0.000     0.000       31   <Class::Time>#now
  0.80     21.000    21.000     0.000     0.000       12   Array#&
  0.80     21.000    21.000     0.000     0.000       21   Array#join
  0.76     20.000    20.000     0.000     0.000       12   Array#flatten
  0.72     38.000    19.000     0.000    19.000       17   Rack::Utils::HeaderHash#[]=
  0.68     31.000    18.000     0.000    13.000       31   ActiveSupport::Notifications::Fanout#listeners_for
  0.68     18.000    18.000     0.000     0.000        8   Regexp#===
  0.68     63.000    18.000     0.000    45.000        9   <Class::Haml::Compiler>#filter_and_join
  0.68     18.000    18.000     0.000     0.000        6   SQLite3::Statement#step
  0.64     27.000    17.000     0.000    10.000       18   Hash#merge
  0.64     28.000    17.000     0.000    11.000        2   Rack::Utils#parse_nested_query
  0.61     16.000    16.000     0.000     0.000        8   ActiveSupport::Logger::SimpleFormatter#call
  0.61     16.000    16.000     0.000     0.000       19   NilClass#to_s
  0.61     16.000    16.000     0.000     0.000        8   <Class::File>#join
  0.61     16.000    16.000     0.000     0.000        4   Enumerable#sort_by
  0.57     42.000    15.000     0.000    27.000        5   ActionView::Helpers::TagHelper#tag_options
  0.57    252.000    15.000     0.000   237.000        3   <Class::Haml::Compiler>#build_attributes
  0.57    373.000    15.000     0.000   358.000        3   ActionView::Helpers::UrlHelper#link_to
  0.57     15.000    15.000     0.000     0.000       17   MatchData#[]
  0.53     14.000    14.000     0.000     0.000       14   Hash#keys
  0.53     14.000    14.000     0.000     0.000        5   String#%
  0.49     58.000    13.000     0.000    45.000       19  *Rack::BodyProxy#respond_to?
  0.46     93.000    12.000     0.000    81.000        8   Logger#add
  0.46     12.000    12.000     0.000     0.000        6   Array#sort
  0.46    163.000    12.000     0.000   151.000        1   ActionView::CompiledTemplates#_app_views_layouts_application_html_erb__616984811032240423_70123364068380
  0.42     11.000    11.000     0.000     0.000       11   Fixnum#to_default_s
  0.38   2125.000    10.000     0.000  2115.000       12  *ActiveSupport::Callbacks#run_callbacks
  0.38     10.000    10.000     0.000     0.000       10   Array#collect
  0.38     17.000    10.000     0.000     7.000        1   ActionController::TemplateAssertions#setup_subscriptions
  0.38     20.000    10.000     0.000    10.000        4   ActionView::LookupContext::ViewPaths#normalize_name
  0.38     10.000    10.000     0.000     0.000       10   String#chomp
  0.38     41.000    10.000     0.000    31.000        1   <Class::Rack::MockRequest>#env_for
  0.38     10.000    10.000     0.000     0.000       10   Module#name
  0.38   2555.000    10.000     0.000  2545.000        1   ActionDispatch::Integration::Session#process
  0.38   1606.000    10.000     0.000  1596.000        1   ActionController::MimeResponds#respond_to
  0.34     16.000     9.000     0.000     7.000       10   Array#select
  0.34      9.000     9.000     0.000     0.000       39   String#initialize
  0.34     20.000     9.000     0.000    11.000        3   WillPaginate::PageNumber#initialize
  0.34      9.000     9.000     0.000     0.000        3   ActiveRecord::Core#init_internals
  0.34      9.000     9.000     0.000     0.000        4   Regexp#match
  0.34      9.000     9.000     0.000     0.000        6   <Class::Hash>#[]
  0.30     52.000     8.000     0.000    44.000        2   ActionView::Helpers::AssetUrlHelper#asset_path
  0.30     62.000     8.000     0.000    54.000        2   ActionDispatch::Response#initialize
  0.30      8.000     8.000     0.000     0.000        5   String#=~
  0.30      8.000     8.000     0.000     0.000        4   Array#|
  0.30     29.000     8.000     0.000    21.000        8   ActiveSupport::TaggedLogging::Formatter#call
  0.30      8.000     8.000     0.000     0.000        8   String#upcase
  0.30     13.000     8.000     0.000     5.000        1   Rack::Utils#parse_query
  0.30      8.000     8.000     0.000     0.000        4   ActionView::LookupContext#formats=
  0.30     68.000     8.000     0.000    60.000        1   Rack::Response#initialize
  0.27      7.000     7.000     0.000     0.000        7   Rack::BodyProxy#initialize
  0.27      7.000     7.000     0.000     0.000        7   SQLite3::Statement#column_decltype
  0.27    103.000     7.000     0.000    96.000        7   ActiveSupport::Subscriber#finish
  0.27     12.000     7.000     0.000     5.000        2   ActionDispatch::Http::Cache::Response#cache_control_segments
  0.27     17.000     7.000     0.000    10.000        7   ActiveSupport::Notifications::Event#initialize
  0.27     22.000     7.000     0.000    15.000        7   ActionView::Helpers::TagHelper#tag_option
  0.27      7.000     7.000     0.000     0.000        7   SQLite3::Statement#column_name
  0.27      7.000     7.000     0.000     0.000        4   String#sub!
  0.27     11.000     7.000     0.000     4.000        7   Enumerable#each_with_object
  0.27      7.000     7.000     0.000     0.000        3   Module#extend_object
  0.23     13.000     6.000     0.000     7.000        2   ActionView::PathSet#find
  0.23   1391.000     6.000     0.000  1385.000        3  *ActionView::Template#render
  0.23      6.000     6.000     0.000     0.000        3   ActionView::OutputBuffer#initialize
  0.23     39.000     6.000     0.000    33.000        2   ActionView::LookupContext::ViewPaths#find
  0.23     24.000     6.000     0.000    18.000        3   ActionDispatch::Journey::Formatter#non_recursive
  0.23   1913.000     6.000     0.000  1907.000        1   ActionController::Instrumentation#process_action
  0.23      6.000     6.000     0.000     0.000       31   Hash#initialize
  0.23      9.000     6.000     0.000     3.000        1   ActionView::PartialRenderer#retrieve_variable
  0.23    225.000     6.000     0.000   219.000        3   Enumerable#collect
  0.23      6.000     6.000     0.000     0.000        3   Object#try
  0.23      6.000     6.000     0.000     0.000        3   <Class::File>#file?
  0.23      6.000     6.000     0.000     0.000        7   String#gsub!
  0.23     10.000     6.000     0.000     4.000        2   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quote_column_name
  0.23   1485.000     6.000     0.000  1479.000        1   ActionView::TemplateRenderer#render_with_layout
  0.23      6.000     6.000     0.000     0.000        3   ActiveRecord::Relation#reset
  0.23     24.000     6.000     0.000    18.000        2   ActionView::LookupContext::ViewPaths#find_all
  0.23      6.000     6.000     0.000     0.000        8   String#to_str
  0.23      6.000     6.000     0.000     0.000        3   UnboundMethod#bind
  0.23      6.000     6.000     0.000     0.000        3   Kernel#lambda
  0.23    126.000     6.000     0.000   120.000        3   Enumerable#group_by
  0.19     75.000     5.000     0.000    70.000        1   Rack::Test::Session#env_for
  0.19     34.000     5.000     0.000    29.000        1   PostsController#_layout
  0.19      5.000     5.000     0.000     0.000       10   ThreadSafe::NonConcurrentCacheBackend#[]=
  0.19     26.000     5.000     0.000    21.000        3   Rack::Utils#clean_path_info
  0.19      5.000     5.000     0.000     0.000        5   Array#*
  0.19      7.000     5.000     0.000     2.000        2   ActionDispatch::Http::MimeNegotiation#content_mime_type
  0.19     14.000     5.000     0.000     9.000        3   Kernel#clone
  0.19      5.000     5.000     0.000     0.000        8   String#[]
  0.19      8.000     5.000     0.000     3.000        1   <Class::ActionDispatch::Journey::Router::Utils>#normalize_path
  0.19     64.000     5.000     0.000    59.000        1   ActionView::Helpers::AssetTagHelper#javascript_include_tag
  0.19     18.000     5.000     0.000    13.000        1   Rack::Request#cookies
  0.19     11.000     5.000     0.000     6.000        1   Rack::ETag#digest_body
  0.19     17.000     5.000     0.000    12.000        1   ApplicationController#_layout
  0.19   2397.000     5.000     0.000  2392.000        1   Rack::MockSession#request
  0.19      5.000     5.000     0.000     0.000        8   IO#write
  0.15   1385.000     4.000     0.000  1381.000        3  *ActionView::Template#instrument
  0.15      9.000     4.000     0.000     5.000        1   ActionDispatch::Http::Headers#env_name
  0.15     10.000     4.000     0.000     6.000        3   SQLite3::Database#prepare
  0.15      4.000     4.000     0.000     0.000        2   <Class::File>#extname
  0.15     65.000     4.000     0.000    61.000        1   ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.15     24.000     4.000     0.000    20.000        2   Sprockets::Rails::Helper#asset_digest_path
  0.15     35.000     4.000     0.000    31.000        2   ActionDispatch::Http::Cache::Response#prepare_cache_control!
  0.15      9.000     4.000     0.000     5.000        4   ActionView::Resolver#find_all
  0.15     10.000     4.000     0.000     6.000        2   ActiveRecord::Core::ClassMethods#relation
  0.15      7.000     4.000     0.000     3.000        1   ActionDispatch::Integration::Runner#copy_session_variables!
  0.15      4.000     4.000     0.000     0.000        2   Sprockets::Base#cache_key_for
  0.15      5.000     4.000     0.000     1.000        2   Enumerable#find_all
  0.15      8.000     4.000     0.000     4.000        4   ActionView::LookupContext::ViewPaths#detail_args_for
  0.15      4.000     4.000     0.000     0.000        2   Rack::Request#scheme
  0.15     32.000     4.000     0.000    28.000        4   ActionView::LookupContext::ViewPaths#args_for_lookup
  0.15   2145.000     4.000     0.000  2141.000        1   Rails::Rack::Logger#call_app
  0.15     23.000     4.000     0.000    19.000        1   ActionView::TemplateRenderer#determine_template
  0.15      4.000     4.000     0.000     0.000        4   <Class::ActiveRecord::LogSubscriber>#reset_runtime
  0.15     37.000     4.000     0.000    33.000        2   ActionView::LogSubscriber#render_template
  0.15     69.000     4.000     0.000    65.000        4   ActionView::Helpers::TagHelper#content_tag_string
  0.15     77.000     4.000     0.000    73.000        3   ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.15      4.000     4.000     0.000     0.000        4   ActionView::LookupContext::Accessors#formats
  0.15      6.000     4.000     0.000     2.000        1   Arel::Nodes::SelectCore#initialize
  0.15      4.000     4.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#subscribe
  0.15     10.000     4.000     0.000     6.000        3   ActionDispatch::Http::MimeNegotiation#formats
  0.15     16.000     4.000     0.000    12.000        1   ActionController::LogSubscriber#start_processing
  0.11      3.000     3.000     0.000     0.000        3   ActionView::Helpers::UrlHelper#link_to_remote_options?
