Measure Mode: process_time_time
Thread ID: 70198652961280
Fiber ID: 70198652682660
Total: 0.031933
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.36      0.004     0.001     0.000     0.004      196  *Class#new
  1.57      0.001     0.001     0.000     0.000      139   String#to_s
  1.33      0.002     0.000     0.000     0.002       57   Hash#each
  1.32      0.001     0.000     0.000     0.000      268   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to?
  1.21      0.001     0.000     0.000     0.001       10   Array#select
  1.09      0.000     0.000     0.000     0.000      107   Kernel#class
  1.01      0.000     0.000     0.000     0.000      161   <Class::Thread>#current
  0.97      0.001     0.000     0.000     0.000       70   ActiveSupport::PerThreadRegistry#instance
  0.84      0.000     0.000     0.000     0.000       89   Symbol#to_s
  0.78      0.000     0.000     0.000     0.000       51   String#gsub
  0.75      0.001     0.000     0.000     0.000       77  *Kernel#initialize_dup
  0.74      0.000     0.000     0.000     0.000       87   ThreadSafe::Cache#[]
  0.68      0.000     0.000     0.000     0.000      106   Hash#delete
  0.65      0.001     0.000     0.000     0.000       56  *Kernel#dup
  0.62      0.000     0.000     0.000     0.000      104   Kernel#respond_to?
  0.62      0.001     0.000     0.000     0.001       17   Array#map
  0.58      0.000     0.000     0.000     0.000       67   Kernel#hash
  0.55      0.000     0.000     0.000     0.000       49   Kernel#public_send
  0.53      0.000     0.000     0.000     0.000      120   Kernel#is_a?
  0.52      0.000     0.000     0.000     0.000       54   Hash#initialize_copy
  0.49      0.000     0.000     0.000     0.000       41   ActiveSupport::SafeBuffer#initialize
  0.49      0.000     0.000     0.000     0.000       87   ThreadSafe::NonConcurrentCacheBackend#[]
  0.47      0.001     0.000     0.000     0.001       22  *MonitorMixin#mon_synchronize
  0.45      0.000     0.000     0.000     0.000      269   String#===
  0.45      0.002     0.000     0.000     0.001       31   ActiveSupport::Notifications::Fanout#listeners_for
  0.44      0.026     0.000     0.000     0.026      117  *Array#each
  0.42      0.000     0.000     0.000     0.000       31   Time#initialize
  0.41      0.001     0.000     0.000     0.001        8   Logger#add
  0.41      0.000     0.000     0.000     0.000       22   MonitorMixin#mon_enter
  0.41      0.000     0.000     0.000     0.000       93   Thread#[]
  0.41      0.000     0.000     0.000     0.000        6   <Class::Haml::Buffer>#merge_attrs
  0.40      0.002     0.000     0.000     0.001        5   ActionView::Helpers::AssetUrlHelper#asset_path
  0.39      0.000     0.000     0.000     0.000       45   Array#first
  0.38      0.000     0.000     0.000     0.000       22   MonitorMixin#mon_exit
  0.37      0.000     0.000     0.000     0.000       35   Hash#fetch
  0.37      0.000     0.000     0.000     0.000       28   Object#present?
  0.36      0.000     0.000     0.000     0.000        6   SQLite3::Statement#step
  0.36      0.000     0.000     0.000     0.000       25   String#split
  0.35      0.000     0.000     0.000     0.000      102   Hash#key?
  0.35      0.000     0.000     0.000     0.000       24   Array#join
  0.35      0.000     0.000     0.000     0.000        9   <Class::ActiveRecord::Base>#logger
  0.35      0.000     0.000     0.000     0.000       31   <Class::Time>#now
  0.34      0.000     0.000     0.000     0.000       46   Kernel#instance_variable_defined?
  0.34      0.000     0.000     0.000     0.000        8   IO#write
  0.31      0.001     0.000     0.000     0.001       23   Haml::Helpers::XssMods#html_escape_with_haml_xss
  0.31      0.000     0.000     0.000     0.000       21   Hash#merge
  0.30      0.000     0.000     0.000     0.000       18   String#sub
  0.29      0.002     0.000     0.000     0.002        7   ActiveSupport::Subscriber#finish
  0.29      0.000     0.000     0.000     0.000       33   Array#hash
  0.29      0.000     0.000     0.000     0.000       68   Kernel#block_given?
  0.28      0.000     0.000     0.000     0.000       29   Array#compact
  0.28      0.000     0.000     0.000     0.000       30   Haml::Util#html_safe
  0.28      0.000     0.000     0.000     0.000       38   String#html_safe
  0.26      0.000     0.000     0.000     0.000       22   Hash#merge!
  0.26      0.000     0.000     0.000     0.000       17   Rack::Utils::HeaderHash#[]=
  0.26      0.000     0.000     0.000     0.000       31   Hash#initialize
  0.25      0.001     0.000     0.000     0.001       28  *Mutex#synchronize
  0.25      0.000     0.000     0.000     0.000       13   Hash#transform_keys
  0.25      0.000     0.000     0.000     0.000       25   MonitorMixin#mon_check_owner
  0.24      0.000     0.000     0.000     0.000        9   <Class::Haml::Compiler>#filter_and_join
  0.24      0.000     0.000     0.000     0.000       21   ActiveSupport::Subscriber#event_stack
  0.24      0.000     0.000     0.000     0.000        3   SQLite3::Statement#initialize
  0.24      0.000     0.000     0.000     0.000       11   Fixnum#to_s
  0.24      0.000     0.000     0.000     0.000       69  *Hash#_get
  0.24      0.000     0.000     0.000     0.000       12   ActiveRecord::LazyAttributeHash#assign_default_value
  0.24      0.000     0.000     0.000     0.000        9   ActiveRecord::LogSubscriber#logger
  0.24      0.000     0.000     0.000     0.000        5   ActionView::Base#assets_environment
  0.23      0.000     0.000     0.000     0.000       42   Array#any?
  0.23      0.000     0.000     0.000     0.000       84   Kernel#respond_to_missing?
  0.23      0.000     0.000     0.000     0.000       68   Module#===
  0.23      0.000     0.000     0.000     0.000       11   Regexp#===
  0.23      0.000     0.000     0.000     0.000        1   ActionView::Helpers::RenderingHelper#_layout_for
  0.22      0.000     0.000     0.000     0.000       55   Kernel#nil?
  0.22      0.000     0.000     0.000     0.000        9   Haml::Helpers#preserve
  0.22      0.000     0.000     0.000     0.000        5   ActionView::Helpers::AssetUrlHelper#compute_asset_host
  0.22      0.027     0.000     0.000     0.027       12  *ActiveSupport::Callbacks#run_callbacks
  0.22      0.000     0.000     0.000     0.000       20   Array#pop
  0.22      0.000     0.000     0.000     0.000        5   ActionView::Helpers::AssetUrlHelper#compute_asset_extname
  0.22      0.000     0.000     0.000     0.000       10   Hash#each_pair
  0.22      0.000     0.000     0.000     0.000        3   URI::Generic#initialize
  0.21      0.000     0.000     0.000     0.000        5   ActionView::Base#assets_manifest
  0.21      0.000     0.000     0.000     0.000       38   Set#include?
  0.21      0.000     0.000     0.000     0.000       22   NilClass#to_s
  0.21      0.000     0.000     0.000     0.000       45   String#initialize
  0.21      0.001     0.000     0.000     0.001        5   Sprockets::Rails::Helper#compute_asset_path
  0.20      0.000     0.000     0.000     0.000       10   <Module::ActiveSupport::Notifications>#instrumenter
  0.20      0.000     0.000     0.000     0.000       19   Haml::Helpers#html_escape
  0.20      0.000     0.000     0.000     0.000       10   ThreadSafe::MriCacheBackend#[]=
  0.19      0.000     0.000     0.000     0.000       15   Hash#each_key
  0.19      0.001     0.000     0.000     0.001       15   ActiveRecord::AttributeMethods::Read#_read_attribute
  0.19      0.000     0.000     0.000     0.000        1   <Class::Rack::MockRequest>#env_for
  0.19      0.003     0.000     0.000     0.003       12   ActiveSupport::Notifications::Instrumenter#finish
  0.19      0.000     0.000     0.000     0.000       14   Haml::Buffer#format_script_false_false_false_true_false_true_true
  0.19      0.000     0.000     0.000     0.000       27   String#downcase
  0.18      0.002     0.000     0.000     0.002        5   Sprockets::Rails::Helper#asset_path
  0.18      0.001     0.000     0.000     0.001       19   Enumerable#map
  0.18      0.001     0.000     0.000     0.001        6   <Class::Haml::Compiler>#build_attributes
  0.18      0.000     0.000     0.000     0.000       10   Array#collect
  0.18      0.001     0.000     0.000     0.000        2   ActionDispatch::Response#initialize
  0.18      0.000     0.000     0.000     0.000       10   ActiveSupport::Notifications::InstrumentationRegistry#instrumenter_for
  0.18      0.000     0.000     0.000     0.000        7   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.18      0.000     0.000     0.000     0.000       47  *Proc#yield
  0.17      0.000     0.000     0.000     0.000        9   ActionDispatch::Journey::Route#score
  0.17      0.000     0.000     0.000     0.000       12   Array#flatten
  0.17      0.001     0.000     0.000     0.000        5   Sprockets::Rails::Helper#asset_digest_path
  0.17      0.000     0.000     0.000     0.000       19   Mutex#unlock
  0.17      0.000     0.000     0.000     0.000        6   ActionDispatch::Request#initialize
  0.17      0.000     0.000     0.000     0.000        7   ActiveSupport::Subscriber#start
  0.16      0.000     0.000     0.000     0.000        9   Array#sort
  0.16      0.001     0.000     0.000     0.000        1   ActiveRecord::QueryMethods#build_arel
  0.16      0.000     0.000     0.000     0.000       21   ActiveSupport::SubscriberQueueRegistry#get_queue
  0.16      0.000     0.000     0.000     0.000       13   ActionView::ViewPaths#lookup_context
  0.16      0.002     0.000     0.000     0.002       12   ActiveSupport::Notifications::Instrumenter#start
  0.16      0.002     0.000     0.000     0.002        3   ActionDispatch::Routing::RouteSet#url_for
  0.16      0.000     0.000     0.000     0.000       11   ActiveSupport::TaggedLogging::Formatter#current_tags
  0.16      0.000     0.000     0.000     0.000       44   Hash#include?
  0.15      0.000     0.000     0.000     0.000        8   ActiveSupport::TaggedLogging::Formatter#call
  0.15      0.002     0.000     0.000     0.001       12   ActiveSupport::Notifications::Fanout#start
  0.15      0.003     0.000     0.000     0.002       12   ActiveSupport::Notifications::Fanout#finish
  0.15      0.000     0.000     0.000     0.000       15   Integer#to_i
  0.15      0.000     0.000     0.000     0.000        3   ActiveRecord::Base#_initialize_callbacks
  0.15      0.032     0.000     0.000     0.032        1   ActiveSupport::Testing::Performance::Profiler#run
  0.15      0.000     0.000     0.000     0.000        3   ActiveRecord::Core::ClassMethods#allocate
  0.15      0.000     0.000     0.000     0.000        8   Object#presence
  0.15      0.000     0.000     0.000     0.000        3   Delegator#method_missing
  0.14      0.001     0.000     0.000     0.001        7   ActiveSupport::LogSubscriber#start
  0.14      0.000     0.000     0.000     0.000        7   ActiveSupport::Notifications::Event#initialize
  0.14      0.000     0.000     0.000     0.000        6   Array#delete
  0.14      0.000     0.000     0.000     0.000       15   ActiveRecord::Attribute#value
  0.14      0.000     0.000     0.000     0.000       19   Mutex#lock
  0.14      0.000     0.000     0.000     0.000       19   Array#last
  0.14      0.000     0.000     0.000     0.000        3   ActionDispatch::Routing::RouteSet::Generator#initialize
  0.14      0.000     0.000     0.000     0.000        3   ActiveRecord::Base#_find_callbacks
  0.14      0.026     0.000     0.000     0.026       40  *Proc#call
  0.14      0.000     0.000     0.000     0.000       12   ActiveRecord::Attribute#initialize
  0.14      0.000     0.000     0.000     0.000        3   ActionController::UrlFor#url_options
  0.14      0.000     0.000     0.000     0.000        3   Class#allocate
  0.14      0.000     0.000     0.000     0.000        2   Rack::Utils#parse_nested_query
  0.14      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#non_recursive
  0.14      0.002     0.000     0.000     0.002        6   Haml::Buffer#attributes
  0.13      0.001     0.000     0.000     0.001       15   ActiveRecord::AttributeSet#fetch_value
  0.13      0.001     0.000     0.000     0.001        8   Logger#info
  0.13      0.000     0.000     0.000     0.000        6   Time#minus_with_coercion
  0.13      0.000     0.000     0.000     0.000       34   Fixnum#+
  0.13      0.000     0.000     0.000     0.000       11   Fixnum#to_default_s
  0.13      0.000     0.000     0.000     0.000       19  *Rack::BodyProxy#respond_to?
  0.13      0.000     0.000     0.000     0.000        9   Kernel#tap
  0.13      0.000     0.000     0.000     0.000       11   ERB::Util#unwrapped_html_escape
  0.13      0.002     0.000     0.000     0.002        7   ActiveSupport::LogSubscriber#finish
  0.13      0.000     0.000     0.000     0.000        9   <Class::ActiveRecord::Base>#connection_handler
  0.13      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::DetailsCache#details_key
  0.13      0.000     0.000     0.000     0.000        9   ActionController::LogSubscriber#logger
  0.13      0.000     0.000     0.000     0.000       15   Array#push
  0.13      0.000     0.000     0.000     0.000       14   Hash#keys
  0.13      0.000     0.000     0.000     0.000        3   #<Module:0x007fb0cc15f110>#__temp__9646
  0.13      0.000     0.000     0.000     0.000       10   ThreadSafe::NonConcurrentCacheBackend#[]=
  0.13      0.000     0.000     0.000     0.000       10   #<Class:0x007fb0cf0197d0>#__getobj__
  0.13      0.000     0.000     0.000     0.000       30   Object#html_safe?
  0.13      0.031     0.000     0.000     0.031        1   ActionDispatch::Integration::Session#process
  0.12      0.000     0.000     0.000     0.000        4   ActionView::Helpers::TagHelper#content_tag_string
